date,Govt Bond Yield 10 Yr,Real GDP Growth,BI7DRR,Deposit Rate 1M,Deposit Rate 3M,Deposit Rate 6M,Deposit Rate 12M,CPI,JISDOR Exchange Rate,Informal Employment,Cement,Stock Index,Fed Funds,FX,FPI,IPI,JIBOR,JIBOR_1,PMI,Money Supply,Money Supply_1,Motor Sales,Retail,CCI,Exports,Imports,Loans,Trade Bal,Unemployment,Gov Bond,Import Price Index,GFCF,Capacity Utilization,Terms of Trade,Disposable Income,Crude Oil Price,Household Debt,Tax Revenue,Export Price Index,Fiscal Balance,Manufacturing Wages YoY,Household Consumption,Imports Capital Goods,Government Expenditure
1986-12-30,,0.0,,,,,,6.87169209333333,,0.0,0.0,64.87666666666665,6.247765508684865,,0.0,0.0,,,,197880.38925057,434133.89615713,0.0,0.0,0.0,30917.199999999997,0.0,0.0,0.0,,7.285,95.07248814833335,0.0,,,0.0,,0.0,0.0,89.53194300333335,0.0,,0.0,0.0,0.0
1987-06-30,,0.0,,,,,,9.15442545,,0.0,0.0,74.79666666666665,6.432691303320334,,0.0,0.0,,,,182615.77213698,455364.02384278,0.0,0.0,0.0,32681.199999999997,0.0,0.0,0.0,,7.76833333333333,95.83131917333336,0.0,,,0.0,,0.0,0.0,90.1225001,0.0,,0.0,0.0,0.0
1987-12-30,,0.0,,,,,,9.412801893333315,,0.0,0.0,80.78999999999999,6.86753349875931,,0.0,0.0,,,,190385.34659968002,511470.19830191997,0.0,0.0,0.0,41670.100000000006,0.0,0.0,0.0,,9.0,95.83426411833335,0.0,,,0.0,,0.0,0.0,90.01191457166665,0.0,,0.0,0.0,0.0
1988-06-30,,0.0,,,,,,8.697083076666665,,0.0,0.0,99.09716666666665,6.904131827386555,,0.0,0.0,,,,197146.05165023002,571694.60915567,0.0,0.0,0.0,40753.5,0.0,0.0,0.0,,8.663333333333334,95.39748382666664,0.0,,,0.0,,0.0,0.0,89.44200007,0.0,,0.0,0.0,0.0
1988-12-30,,0.0,,,,,,7.4509275200000005,,0.0,0.0,163.191,8.22076095947064,,0.0,0.0,,,,204089.33624362998,615429.94379438,0.0,0.0,0.0,42299.8,0.0,0.0,0.0,,9.028333333333336,94.90235392166664,0.0,,,0.0,,0.0,0.0,88.45834350499999,0.0,,0.0,0.0,0.0
1989-06-30,,0.0,,18.17333333333335,18.354999999999997,19.035,19.1783333333333,6.763317718333335,,0.0,0.0,305.32416666666654,9.575079640789316,,0.0,0.0,,,,219385.07241661,681345.63309176,345744.0,0.0,0.0,45003.100000000006,0.0,0.0,0.0,,8.99,95.63977940833335,0.0,,,0.0,,0.0,0.0,89.301151275,0.0,,0.0,0.0,0.0
1989-12-30,,0.0,,16.5666666666667,17.49166666666665,18.22,19.0166666666667,6.07488239666667,,0.0,0.0,414.764833333333,8.86292307692308,,0.0,0.0,,,,253113.23227322,797811.33757442,424921.0,0.0,0.0,50940.4,0.0,0.0,0.0,,8.00666666666667,95.66167577,0.0,,,0.0,,0.0,0.0,88.74659474666666,0.0,,0.0,0.0,0.0
1990-06-30,,0.0,,15.45,16.24666666666665,16.7666666666667,17.735,5.983673980000001,,0.0,0.0,575.769,8.243703946591044,,0.0,0.0,,,,302947.58444062003,963263.7403719199,516044.0,0.0,0.0,48373.3,0.0,0.0,0.0,,8.55,95.56543095833331,0.0,,,0.0,,0.0,0.0,88.6004727683333,0.0,,0.0,0.0,0.0
1990-12-30,,0.0,,19.336666666666652,18.814999999999998,17.82833333333335,17.775,9.60961792,,0.0,0.0,478.263833333333,7.949776379534445,,0.0,0.0,,,,334232.84660080005,1155016.04881805,693520.0,0.0,0.0,65141.100000000006,0.0,0.0,0.0,,8.55,96.56603368166665,0.0,,,0.0,,0.0,0.0,90.45514552,0.0,,0.0,0.0,0.0
1991-06-30,,0.0,,24.116666666666703,23.93333333333335,23.0216666666667,20.1866666666667,9.472150715000005,,0.0,0.0,390.0078333333335,6.14665777502068,,0.0,0.0,,,,312445.59706168,1100966.08752036,522919.0,0.0,0.0,58696.2,0.0,0.0,0.0,,8.073333333333334,95.402947745,0.0,,,0.0,,0.0,0.0,88.477386475,0.0,,0.0,0.0,0.0
